Timestamp,Gender ,Followers_Instagram
3/23/2023 11:43:26,Female,865
3/23/2023 11:46:40,Female,345
3/23/2023 11:47:50,Female,11
3/23/2023 11:47:53,Female,508
3/23/2023 11:48:18,Female,99
3/23/2023 11:49:31,Female,4000
3/23/2023 11:49:38,Female,423
3/23/2023 11:49:38,Female,900
3/23/2023 11:50:59,Female,199
3/23/2023 11:51:03,Female,503
3/23/2023 11:51:05,Female,179
3/23/2023 11:52:48,Female,371
3/23/2023 11:52:53,Female,330
3/23/2023 11:55:11,Female,540
3/23/2023 11:56:42,Female,295
3/23/2023 11:57:01,Male,256
3/23/2023 11:57:54,Male,150
3/23/2023 11:58:40,Female,1122
3/23/2023 12:00:25,Female,1122
3/23/2023 12:00:32,Female,628
3/23/2023 12:01:12,Female,1687
3/23/2023 12:01:41,Male,620
3/23/2023 12:01:41,Female,300
3/23/2023 12:01:58,Female,239
3/23/2023 12:03:06,Female,1800
3/23/2023 12:03:49,Female,372
3/23/2023 12:03:56,Female,443
3/23/2023 12:03:58,Female,532
3/23/2023 12:07:51,Female,781
3/23/2023 12:08:09,Female,700
3/23/2023 12:09:19,Female,435
3/23/2023 12:11:56,Female,540
3/23/2023 12:16:58,Female,1287
3/23/2023 12:17:00,Female,173
3/23/2023 12:18:00,Male,12
3/23/2023 12:18:57,Male,581
3/23/2023 12:20:04,Female,787
3/23/2023 12:20:10,Female,957
3/23/2023 12:20:19,Female,295
3/23/2023 12:25:02,Female,790
3/23/2023 12:25:10,Male,621
3/23/2023 12:25:20,Female,145000
3/23/2023 12:25:49,Male,563
3/23/2023 12:26:00,Male,700
3/23/2023 12:28:35,Male,129
3/23/2023 12:28:44,Female,360
3/23/2023 12:29:01,Female,1557
3/23/2023 12:35:08,Female,160
3/23/2023 12:37:23,Male,414
3/23/2023 12:37:42,Male,350
3/23/2023 12:37:46,Male,37
3/23/2023 12:39:37,Female,285
3/23/2023 12:40:15,Female,100
3/23/2023 12:40:37,Female,115
3/23/2023 12:41:19,Female,284
3/23/2023 12:42:24,Male,0
3/23/2023 12:48:19,Male,335
3/23/2023 12:49:35,Male,488
3/23/2023 12:52:51,Female,1047
3/23/2023 12:59:47,Female,390
3/23/2023 12:59:48,Female,176
3/23/2023 12:59:58,Female,1101
3/23/2023 13:02:22,Female,252
3/23/2023 13:03:58,Female,1900
3/23/2023 13:07:14,Female,1187
3/23/2023 13:11:48,Male,645
3/23/2023 13:19:57,Female,713
3/23/2023 13:26:53,Female,1100
3/23/2023 13:31:28,Male,773
3/23/2023 13:31:50,Male,293
3/23/2023 13:32:52,Male,620
3/23/2023 13:34:25,Female,606
3/23/2023 13:38:41,Female,280
3/23/2023 13:45:07,Female,700
3/23/2023 13:50:56,Female,591
3/23/2023 13:50:59,Female,344
3/23/2023 14:00:01,Female,740
3/23/2023 14:06:56,Male,200
3/23/2023 14:19:57,Female,300
3/23/2023 14:25:42,Female,923
3/23/2023 14:25:45,Female,83
3/23/2023 14:35:30,Female,1142
3/23/2023 14:40:33,Female,300
3/23/2023 14:41:56,Female,574
3/23/2023 14:45:42,Female,1120
3/23/2023 15:08:41,Female,562
3/23/2023 15:37:06,Female,300
3/23/2023 15:37:39,Female,797
3/23/2023 15:46:18,Female,372
3/23/2023 15:47:11,Female,404
3/23/2023 15:47:27,Female,525
3/23/2023 16:02:19,Male,80
3/23/2023 16:03:04,Female,1052
3/23/2023 16:08:46,Female,780
3/23/2023 16:29:40,Female,737
3/23/2023 16:40:41,Male,687
3/23/2023 16:41:08,Female,615
3/23/2023 17:12:44,Female,400
3/23/2023 17:30:43,Female,794
3/23/2023 17:47:48,Female,937
3/23/2023 18:22:36,Male,60
3/23/2023 19:06:15,Female,391
3/23/2023 19:23:18,Male,374
3/23/2023 19:30:45,Female,590
3/23/2023 19:53:23,Female,673
3/23/2023 20:07:07,Female,1789
3/23/2023 20:28:46,Female,598
3/23/2023 21:08:32,Female,955
3/23/2023 21:20:01,Female,1400
3/23/2023 23:06:27,Male,380
3/23/2023 23:39:25,Female,11843217982
3/23/2023 23:39:37,Female,2
3/23/2023 23:41:47,Male,9
3/24/2023 2:04:20,Female,301
3/24/2023 3:36:45,Female,257
3/24/2023 7:17:46,Male,1460
3/24/2023 7:45:39,Male,370
3/24/2023 8:28:46,Female,1569
3/24/2023 10:25:29,Female,680
3/24/2023 10:48:28,Female,1310
3/29/2023 18:05:58,Male,0
