YEAR,Car_Age,MILEAGE,CAR_PRICE
2013,10,91000,23500
1999,25,24000,19500
2012,11,49000,25999
2021,2,7432,44500
2000,23,192000,11500
2016,6,64000,32000
2015,7,27000,32500
2018,4,35250,28000
2023,0,3500,37000
